Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C21, C22, C23",0805,6,10u,C440198
"C10, C18, C19, C2, C20, C24, C25, C26, C27, C29, C31, C32, C34, C36, C5, C6, C7, C9",0402,18,0u1,C307331
"C11, C12, C8",0402,3,1u,C52923
C13,0402,1,10n,C15195
C14,0402,1,1n,C1523
"C15, C30",CP_Elec_6.3x7.7,2,150u,C178603
"C28, C33",0402,2,22n,C1532
"C3, C4",0603,2,6p8,C1576
"D1, D2, D3, D4, D5",Diode_DFN1006,5,H5VU10U,C22395519
D6,0805,1,YELLOW,C2296
D7,0805,1,GREEN,C2297
FB1,0805,1,600Ω@100M,C81034
"JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_2_Open,
L1,1008,1,4u7,C5832360
"R1, R10, R12, R3, R5",0402,5,10k,C25744
"R11, R13",0805,2,10m,C22450688
"R14, R4",0402,2,5k1,C25905
R2,0402,1,2k,C4109
R6,0402,1,470,C25117
R7,0402,1,75k,C25798
R8,0402,1,24k,C25769
R9,1206,1,120,C17909
"SW1, SW2, SW3, SW4",SW_SPST_TS-1088-xR020,4,SW_Push,C720477
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G474RBTx,C1235414
U2,TI_SO-PowerPAD-8_ThermalVias,1,MX25947,C5875698
U3,SOT-583-8,1,TPS62933,C3200405
U4,TSOT-23-8,1,TCAN3413,C30111221
U5,TSSOP-14_4.4x5mm_P0.65mm,1,AS5047P,C962063
"U6, U8",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,2,DRV8874,C1855818
"U7, U9",SOT-23-8,2,INA241A3IDDF,C6051860
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,C37635325
